example_id                                                     | status | run_time        |
-------------------------------------------------------------- | ------ | --------------- |
./spec/controllers/candidates_controller_spec.rb[1:1:1]        | passed | 0.01765 seconds |
./spec/controllers/candidates_controller_spec.rb[1:2:1]        | passed | 0.02239 seconds |
./spec/controllers/candidates_controller_spec.rb[1:3:1]        | passed | 0.0045 seconds  |
./spec/controllers/candidates_controller_spec.rb[1:4:1]        | passed | 0.04001 seconds |
./spec/controllers/candidates_controller_spec.rb[1:5:1:1]      | passed | 0.02485 seconds |
./spec/controllers/candidates_controller_spec.rb[1:5:1:2]      | passed | 0.02009 seconds |
./spec/controllers/candidates_controller_spec.rb[1:5:2:1]      | passed | 0.02191 seconds |
./spec/controllers/candidates_controller_spec.rb[1:6:1:1]      | passed | 0.02906 seconds |
./spec/controllers/candidates_controller_spec.rb[1:6:1:2]      | passed | 0.02929 seconds |
./spec/controllers/candidates_controller_spec.rb[1:6:2:1]      | passed | 0.03415 seconds |
./spec/controllers/candidates_controller_spec.rb[1:7:1]        | passed | 0.01917 seconds |
./spec/controllers/candidates_controller_spec.rb[1:7:2]        | passed | 0.02223 seconds |
./spec/controllers/decisions_controller_spec.rb[1:1:1]         | passed | 0.01399 seconds |
./spec/controllers/decisions_controller_spec.rb[1:2:1]         | passed | 0.01956 seconds |
./spec/controllers/decisions_controller_spec.rb[1:3:1]         | passed | 0.00839 seconds |
./spec/controllers/decisions_controller_spec.rb[1:4:1]         | passed | 0.01307 seconds |
./spec/controllers/decisions_controller_spec.rb[1:5:1:1]       | passed | 0.01711 seconds |
./spec/controllers/decisions_controller_spec.rb[1:5:1:2]       | passed | 0.01474 seconds |
./spec/controllers/decisions_controller_spec.rb[1:5:2:1]       | passed | 0.00827 seconds |
./spec/controllers/decisions_controller_spec.rb[1:6:1:1]       | passed | 0.01574 seconds |
./spec/controllers/decisions_controller_spec.rb[1:6:1:2]       | passed | 0.01639 seconds |
./spec/controllers/decisions_controller_spec.rb[1:6:2:1]       | passed | 0.015 seconds   |
./spec/controllers/decisions_controller_spec.rb[1:7:1]         | passed | 0.01537 seconds |
./spec/controllers/decisions_controller_spec.rb[1:7:2]         | passed | 0.01254 seconds |
./spec/controllers/interviewers_controller_spec.rb[1:1:1]      | passed | 0.0127 seconds  |
./spec/controllers/interviewers_controller_spec.rb[1:2:1]      | passed | 0.01322 seconds |
./spec/controllers/interviewers_controller_spec.rb[1:3:1]      | passed | 0.00537 seconds |
./spec/controllers/interviewers_controller_spec.rb[1:4:1]      | passed | 0.01382 seconds |
./spec/controllers/interviewers_controller_spec.rb[1:5:1:1]    | passed | 0.01307 seconds |
./spec/controllers/interviewers_controller_spec.rb[1:5:1:2]    | passed | 0.01358 seconds |
./spec/controllers/interviewers_controller_spec.rb[1:5:2:1]    | passed | 0.00631 seconds |
./spec/controllers/interviewers_controller_spec.rb[1:6:1:1]    | passed | 0.01524 seconds |
./spec/controllers/interviewers_controller_spec.rb[1:6:1:2]    | passed | 0.01386 seconds |
./spec/controllers/interviewers_controller_spec.rb[1:6:2:1]    | passed | 0.0146 seconds  |
./spec/controllers/interviewers_controller_spec.rb[1:7:1]      | passed | 0.01623 seconds |
./spec/controllers/interviewers_controller_spec.rb[1:7:2]      | passed | 0.01468 seconds |
./spec/controllers/recruiters_controller_spec.rb[1:1:1]        | passed | 0.01379 seconds |
./spec/controllers/recruiters_controller_spec.rb[1:2:1]        | passed | 0.03236 seconds |
./spec/controllers/recruiters_controller_spec.rb[1:3:1]        | passed | 0.02145 seconds |
./spec/controllers/recruiters_controller_spec.rb[1:4:1]        | passed | 0.01342 seconds |
./spec/controllers/recruiters_controller_spec.rb[1:5:1:1]      | passed | 0.01592 seconds |
./spec/controllers/recruiters_controller_spec.rb[1:5:1:2]      | passed | 0.01578 seconds |
./spec/controllers/recruiters_controller_spec.rb[1:5:2:1]      | passed | 0.0053 seconds  |
./spec/controllers/recruiters_controller_spec.rb[1:6:1:1]      | passed | 0.01726 seconds |
./spec/controllers/recruiters_controller_spec.rb[1:6:1:2]      | passed | 0.01446 seconds |
./spec/controllers/recruiters_controller_spec.rb[1:6:2:1]      | passed | 0.01781 seconds |
./spec/controllers/recruiters_controller_spec.rb[1:7:1]        | passed | 0.02142 seconds |
./spec/controllers/recruiters_controller_spec.rb[1:7:2]        | passed | 0.013 seconds   |
./spec/controllers/requisitions_controller_spec.rb[1:1:1]      | passed | 0.01663 seconds |
./spec/controllers/requisitions_controller_spec.rb[1:2:1]      | passed | 0.01608 seconds |
./spec/controllers/requisitions_controller_spec.rb[1:3:1]      | passed | 0.00331 seconds |
./spec/controllers/requisitions_controller_spec.rb[1:4:1]      | passed | 0.01632 seconds |
./spec/controllers/requisitions_controller_spec.rb[1:5:1:1]    | passed | 0.01731 seconds |
./spec/controllers/requisitions_controller_spec.rb[1:5:1:2]    | passed | 0.01787 seconds |
./spec/controllers/requisitions_controller_spec.rb[1:5:2:1]    | passed | 0.02395 seconds |
./spec/controllers/requisitions_controller_spec.rb[1:6:1:1]    | passed | 0.02343 seconds |
./spec/controllers/requisitions_controller_spec.rb[1:6:1:2]    | passed | 0.01732 seconds |
